"23138","020913","004299","1445.18","366.02",
"23139","020913","002997","550.08","139.32",
"23140","020913","000883","1159.93","293.78",
"23141","050913","000301","2650.45","671.29",
"23142","050913","003663","13896.81","3519.71",
"23143","050913","004449","550.08","139.32",
"23144","050913","004403","825.13","208.98",
"23145","050913","000209","1619.95","410.29",
"23146","050913","004372","449.94","113.95",
"23147","090913","004503","275.04","69.66",
"23148","090913","002581","1425.18","360.96",
"23149","090913","002426","20395.66","5165.71",
"23152","100913","003762","445.11","112.73",
"23153","100913","001459","1322.61","318.26",
"23154","100913","000649","322.99","73.44",
"23155","100913","004171","295.24","74.77",
"23156","110913","001094","310.03","78.52",
"23157","110913","004512","1325.23","335.64",
"23158","110913","000721","275.04","69.66",
"23159","110913","004279","275.04","69.66",
"23160","110913","002290","895.10","226.70",
"23161","110913","002877","795.14","201.38",
"23162","110913","004333","2599.95","658.50",
"23164","110913","004233","310.03","78.52",
"23165","110913","004475","550.08","139.32",
"23166","110913","004353","34.99","8.85",
"23167","110913","004177","330.34","83.66",
"23169","110913","004493","550.08","139.32",
"23170","110913","003822","1275.25","322.98",
"23171","110913","003285","610.06","154.51",
"23172","110913","000626","599.92","57.36",
"23173","120913","000111","2599.95","658.50",
"23174","130913","001115","462.47","117.13",
"23175","160913","001119","795.14","201.38",
"23176","160913","003958","620.05","157.04",
"23177","160913","002246","539.99","136.76",
"23178","160913","001176","550.08","139.32",
"23179","160913","003166","1325.23","335.64",
"23180","160913","002248","3899.93","987.75",
"23181","160913","001338","809.98","205.14",
"23182","160913","002724","310.03","78.52",
"23183","160913","003750","269.99","68.38",
"23184","180913","004547","1325.23","335.64",
"23185","190913","004411","209.97","20.07",
"23186","190913","000753","764.84","193.71",
"23187","190913","000753","15296.75","3874.28",
"23188","240913","004490","285.04","72.19",
"23192","250913","004468","869.95","220.33",
"23193","250913","004524","289.99","73.44",
"23194","250913","004548","132.53","33.56",
"23195","260913","004408","2599.95","658.50",
"23196","260913","000089","2450.54","620.65",
"23197","260913","004188","15296.75","3874.28",
"23198","270913","000710","724.98","183.61",
"23200","300913","004437","825.13","208.98",
"23201","300913","004456","550.08","139.32",
"23202","011013","004317","1133.55","287.10",
"23203","011013","001478","590.48","149.55",
"23204","021013","003956","390.02","37.29",
"23205","021013","004335","822.04","78.60",
"23206","021013","001522","864.03","82.61",
"23207","021013","004351","295.24","74.77",
"23208","021013","004384","375.28","95.04",
"23209","021013","001419","200.06","50.66",
"23211","021013","004439","285.04","72.19",
"23212","021013","004525","295.24","74.77",
"23213","021013","000844","289.99","73.44",
"23214","021013","002886","295.24","74.77",
"23215","021013","004338","285.04","72.19",
"23216","021013","004385","289.99","73.44",
"23217","021013","004365","295.24","74.77",
"23218","021013","004316","295.24","74.77",
"23219","021013","004367","295.24","74.77",
"23220","021013","004478","295.24","74.77",
"23221","021013","004476","295.24","74.77",
"23222","021013","004344","295.24","74.77",
"23223","021013","004513","295.24","74.77",
"23224","021013","001623","295.24","74.77",
"23226","021013","003070","375.28","95.04",
"23227","021013","004519","295.24","74.77",
"23228","021013","003828","415.30","105.18",
"23230","021013","002217","295.24","74.77",
"23231","021013","002219","335.26","84.91",
"23233","021013","003488","670.52","169.82",
"23234","021013","003978","295.24","74.77",
"23235","021013","004543","770.18","195.06",
"23236","021013","004126","295.24","74.77",
"23237","021013","004550","295.24","74.77",
"23238","021013","004551","295.24","74.77",
"23239","021013","004522","375.28","95.04",
"23240","031013","003714","1338.03","127.93",
"23241","031013","003714","1338.03","127.93",
"23242","071013","004267","2650.45","671.29",
"23243","081013","004547","585.68","148.33",
"23244","081013","004547","113.36","28.71",
"23245","081013","000852","590.48","149.55",
"23246","081013","004348","869.95","220.33",
"23247","091013","003853","170.04","43.06",
"23248","091013","004390","119.66","30.30",
"23249","091013","002614","56.68","14.35",
"23250","091013","000494","88.17","22.33",
"23251","091013","000478","119.66","30.30",
"23252","091013","004046","62.98","15.95",
"23253","091013","004486","56.68","14.35",
"23254","091013","000626","516.00","49.33",
"23255","091013","003949","3967.43","1004.85",
"23256","091013","004142","289.99","73.44",
"23257","091013","000400","1095.50","277.46",
"23258","091013","004391","285.04","72.19",
"23259","101013","003310","453.42","114.84",
"23260","111013","000883","144.04","20.27",
"23261","111013","003966","2930.06","742.11",
"23262","111013","000077","539.99","136.76",
"23263","111013","000966","539.99","136.76",
"23264","111013","003271","1325.23","335.64",
"23265","111013","001731","2599.95","658.50",
"23266","111013","001502","2599.95","658.50",
"23267","111013","001197","825.13","208.98",
"23268","111013","002517","1619.95","410.29",
"23269","111013","002573","275.04","69.66",
"23270","111013","004493","550.08","139.32",
"23271","111013","004461","1296.04","123.92",
"23272","111013","004455","390.02","37.29",
"23273","151013","002426","20395.66","5165.71",
"23274","151013","002426","1019.79","258.28",
"23275","161013","004095","1299.98","329.25",
"23276","181013","004552","1590.27","402.77",
"23277","181013","000766","960.93","243.37",
"23278","181013","003640","275.04","69.66",
"23279","181013","002002","275.04","69.66",
"23280","181013","004475","275.04","69.66",
"23281","181013","001094","414.97","105.09",
"23282","181013","004124","330.34","83.66",
"23283","181013","001913","1325.23","335.64",
"23284","181013","002408","2599.95","658.50",
"23285","181013","003386","2599.95","658.50",
"23286","181013","004101","2599.95","658.50",
"23287","181013","002192","2765.12","700.33",
"23288","181013","001358","1299.98","329.25",
"23289","181013","004233","275.04","69.66",
"23290","181013","003614","269.99","68.38",
"23291","181013","002331","330.34","83.66",
"23292","181013","000718","1325.23","335.64",
"23293","211013","004313","579.97","146.89",
"23294","211013","004063","289.99","73.44",
"23295","221013","004511","539.99","136.76",
"23296","221013","000753","15296.75","3874.28",
"23297","221013","003856","539.99","136.76",
"23298","221013","003435","330.34","83.66",
"23299","221013","004542","310.03","78.52",
"23300","221013","004515","2599.95","658.50",
"23301","231013","000644","550.08","139.32",
"23302","231013","003994","289.99","73.44",
"23303","231013","004490","285.04","72.19",
"23304","231013","000649","490.09","124.12",
"23305","241013","003958","345.01","87.37",
"23306","241013","002724","275.04","69.66",
"23307","241013","003777","310.03","78.52",
"23308","251013","003663","6135.43","1553.95",
"23309","281013","001539","2699.91","683.82",
